customer_id,first_name,last_name,address1,address2,city,province,postcode,country
cust_000001,Idris,Nowak,176 King St,,London,,IG1 1AT,GB
cust_000002,Yuki,Kim,12 Manor Rd,,London,,SW6 1HS,GB
cust_000003,Oliver,Ahmed,154 King St,,London,,EC1V 9NQ,GB
cust_000004,Nikolai,Hassan,133 Church Rd,,London,,E2 8DP,GB
cust_000005,Ananya,Davies,79 Park Lane,,London,,CF10 1EP,GB
cust_000006,Finn,Mensah,103 Rue Example,,Amsterdam,,1012,NL
cust_000007,Raj,Ibrahim,117 Rue Example,,Madrid,,28001,ES
cust_000008,Mohammed,Taylor,114 Victoria St,,London,,KT1 1HN,GB
cust_000009,James,Garcia,198 Mill Lane,,London,,N7 8NL,GB
cust_000010,Arjun,Gupta,604 Broadway,,Chicago,IL,60601,US
cust_000011,Tariq,Jones,24 Queen St,,London,,LS1 4DY,GB
cust_000012,Daniel,Ibrahim,148 Church Rd,,London,,LS1 4DY,GB
cust_000013,Arjun,Park,20 Queen St,,London,,KT1 1HN,GB
cust_000014,Isla,Adeyemi,114 Queen St,,London,,BR1 1LU,GB
cust_000015,Damilola,Mensah,59 Church Rd,,London,,EH1 1RE,GB
cust_000016,Patrick,Johnson,140 Green Lane,,London,,EH1 1RE,GB
cust_000017,Daniel,Nowicki,800 Broadway,,New York,NY,10001,US
cust_000018,Sophie,Brown,78 Rue Example,,Amsterdam,,1012,NL
cust_000019,Eoin,Sharma,168 Queen St,,London,,EH1 1RE,GB
cust_000020,Blessing,Singh,15 High St,,London,,SE15 5DQ,GB
cust_000021,Ade,Muller,30 Rue Example,,Amsterdam,,1012,NL
cust_000022,Jamal,Okafor,88 Rue Example,,Madrid,,28001,ES
cust_000023,Finn,Kumar,139 Manor Rd,,London,,EH1 1RE,GB
cust_000024,Marcus,Gupta,42 Church Rd,,London,,KT1 1HN,GB
cust_000025,Raj,Ibrahim,85 Victoria St,,London,,N1 7GU,GB
cust_000026,Grace,Ahmed,270 Broadway,,Los Angeles,CA,90001,US
cust_000027,Zara,Okafor,123 Victoria St,,London,,SW1A 1AA,GB
cust_000028,Chen,Patel,130 Green Lane,,London,,W1D 3SE,GB
cust_000029,Ananya,Kumar,51 Green Lane,,London,,EC1V 9NQ,GB
cust_000030,Yusuf,Mensah,135 Victoria St,,London,,EC2A 4NE,GB
cust_000031,Emeka,Asante,153 Park Lane,,London,,N16 8JH,GB
cust_000032,Oluwaseun,Taylor,181 Rue Example,,Dublin,,D01,IE
cust_000033,Blessing,Kumar,14 Park Lane,,London,,SE1 9SG,GB
cust_000034,Yuki,Thompson,141 Rue Example,,Amsterdam,,1012,NL
cust_000035,Patrick,Taylor,414 Broadway,,Chicago,IL,60601,US
cust_000036,Aisha,Watanabe,661 Broadway,,Brooklyn,NY,11201,US
cust_000037,Liam,Okafor,160 Victoria St,,London,,E1 6AN,GB
cust_000038,Ewa,Asante,21 Station Rd,,London,,IG1 1AT,GB
cust_000039,Yusuf,Nowicki,191 Station Rd,,London,,W4 5PY,GB
cust_000040,Kwame,Martinez,30 High St,,London,,EC2A 4NE,GB
cust_000041,Priya,Ibrahim,102 Mill Lane,,London,,E2 8DP,GB
cust_000042,Ewa,Johnson,149 Station Rd,,London,,EC1V 9NQ,GB
cust_000043,Chioma,Kim,90 High St,,London,,SW1A 1AA,GB
cust_000044,Stefan,Davies,63 Church Rd,,London,,KT1 1HN,GB
cust_000045,Chloe,Patel,30 Victoria St,,London,,SE15 5DQ,GB
cust_000046,Dmitri,Tanaka,90 Victoria St,,London,,E8 1HT,GB
cust_000047,Nadia,Brown,115 Queen St,,London,,E2 8DP,GB
cust_000048,Blessing,Hussain,16 Church Rd,,London,,M1 1AD,GB
cust_000049,Sienna,Okafor,112 Manor Rd,,London,,W11 2BQ,GB
