customer_id,email,first_name,last_name,created_at,accepts_marketing,total_spent,orders_count,acquisition_source,acquisition_date,default_country,gender_segment_affinity
cust_000001,idris.nowak.1@example-fake.com,Idris,Nowak,2024-06-01T17:46:30,false,417.13,4,facebook/paid_social/Retargeting_AllUsers,2024-06-01,GB,mens
cust_000002,yuki.kim.2@example-fake.com,Yuki,Kim,2024-06-01T17:28:30,true,282.88,3,direct/none/direct,2024-06-01,GB,mens
cust_000003,oliver.ahmed.3@example-fake.com,Oliver,Ahmed,2024-06-01T14:07:27,false,262.56,3,google/cpc/Shopping_Tees_UK,2024-06-01,GB,mens
cust_000004,nikolai.hassan.4@example-fake.com,Nikolai,Hassan,2024-06-01T14:56:41,false,1098.85,6,klaviyo/email/Drop_Announcement,2024-06-01,GB,mens
cust_000005,ananya.davies.5@example-fake.com,Ananya,Davies,2024-06-01T09:37:27,false,57.94,1,facebook/paid_social/Retargeting_AllUsers,2024-06-01,GB,mens
cust_000006,finn.mensah.6@example-fake.com,Finn,Mensah,2024-06-01T16:21:44,true,495.77,6,facebook/paid_social/Prospecting_Mens_UK,2024-06-01,IT,mens
cust_000007,raj.ibrahim.7@example-fake.com,Raj,Ibrahim,2024-06-01T15:28:10,true,548.22,5,google/cpc/Brand_Search_UK,2024-06-01,FR,mens
cust_000008,mohammed.taylor.8@example-fake.com,Mohammed,Taylor,2024-06-01T11:24:08,true,55.94,1,direct/none/direct,2024-06-01,GB,mens
cust_000009,james.garcia.9@example-fake.com,James,Garcia,2024-06-01T08:45:17,true,400.39,3,google/cpc/PMax_Menswear_UK,2024-06-01,GB,mens
cust_000010,arjun.gupta.10@example-fake.com,Arjun,Gupta,2024-06-01T09:18:10,true,771.95,8,google/cpc/Brand_Search_UK,2024-06-01,US,mens
cust_000011,tariq.jones.11@example-fake.com,Tariq,Jones,2024-06-01T17:15:23,false,455.01,2,instagram/paid_social/Retargeting_AllUsers,2024-06-01,GB,mens
cust_000012,daniel.ibrahim.12@example-fake.com,Daniel,Ibrahim,2024-06-01T09:24:59,true,379.62,3,facebook/paid_social/Prospecting_Mens_EU,2024-06-01,GB,mens
cust_000013,arjun.park.13@example-fake.com,Arjun,Park,2024-06-01T09:29:56,true,614.88,4,instagram/paid_social/Prospecting_Mens_UK,2024-06-01,GB,mens
cust_000014,isla.adeyemi.14@example-fake.com,Isla,Adeyemi,2024-06-01T09:50:40,true,346.99,2,instagram/paid_social/Prospecting_Mens_UK,2024-06-01,GB,mens
cust_000015,damilola.mensah.15@example-fake.com,Damilola,Mensah,2024-06-01T08:12:18,true,490.11,4,direct/none/direct,2024-06-01,GB,mens
cust_000016,patrick.johnson.16@example-fake.com,Patrick,Johnson,2024-06-01T14:28:06,false,258.94,2,google/cpc/Shopping_Tees_UK,2024-06-01,GB,mens
cust_000017,daniel.nowicki.17@example-fake.com,Daniel,Nowicki,2024-06-01T16:45:12,false,520.10,4,direct/none/direct,2024-06-01,US,mens
cust_000018,sophie.brown.18@example-fake.com,Sophie,Brown,2024-06-01T09:24:37,true,171.83,3,facebook/paid_social/Prospecting_Mens_UK,2024-06-01,ES,mens
cust_000019,eoin.sharma.19@example-fake.com,Eoin,Sharma,2024-06-01T11:53:00,true,1269.13,12,facebook/paid_social/Prospecting_Mens_EU,2024-06-01,GB,mens
cust_000020,blessing.singh.20@example-fake.com,Blessing,Singh,2024-06-01T21:57:14,true,749.83,6,direct/none/direct,2024-06-01,GB,mens
cust_000021,ade.muller.21@example-fake.com,Ade,Muller,2024-06-01T17:49:59,true,709.92,4,facebook/paid_social/Prospecting_Mens_EU,2024-06-01,FR,mens
